Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
1,Petroleum Engineering,Bachelors,92300.0,182000.0,69.0
2,Electrical Engineering & Computer Science (EECS),Bachelors,101200.0,152300.0,46.0
3,Applied Economics and Management,Bachelors,60900.0,139600.0,67.0
3,Operations Research,Bachelors,78400.0,139600.0,52.0
5,Public Accounting,Bachelors,60000.0,138800.0,49.0
6,Chemical Engineering/Materials Science & Engineering,Bachelors,74500.0,137800.0,60.0
7,Quantitative Business Analysis,Bachelors,67900.0,136200.0,55.0
8,Pharmacy,Bachelors,66300.0,133200.0,79.0
9,Aeronautics & Astronautics,Bachelors,74000.0,133100.0,60.0
10,Systems Engineering,Bachelors,74000.0,132900.0,54.0
11,Electrical Power Engineering,Bachelors,73100.0,130700.0,67.0
12,Actuarial Mathematics,Bachelors,61900.0,130500.0,50.0
13,Aerospace Studies,Bachelors,50300.0,130300.0,
14,Chemical Engineering,Bachelors,73500.0,128900.0,56.0
15,Actuarial Science,Bachelors,64700.0,128700.0,42.0
16,Information & Computer Science,Bachelors,70300.0,127600.0,60.0
17,Aeronautical Engineering,Bachelors,71600.0,125900.0,64.0
18,Operations & Information Systems Management,Bachelors,63800.0,125100.0,31.0
18,Political Economy,Bachelors,58200.0,125100.0,34.0
20,Marine Engineering,Bachelors,74700.0,125000.0,64.0
21,Computer Systems Engineering,Bachelors,74600.0,124800.0,49.0
22,Nuclear Engineering,Bachelors,73100.0,124500.0,63.0
23,Computer Science (CS) & Engineering,Bachelors,74000.0,124000.0,44.0
24,Corporate Accounting & Finance,Bachelors,61200.0,123600.0,57.0
25,Electrical & Computer Engineering (ECE),Bachelors,73900.0,123300.0,49.0
